StoreNbr,StoreName,StoreType,BuildingAddress,BuildingCity,BuildingStateProv,BuildingPostalCode,SizeSqFt,OpenDate,Latitude,Longitude
4325,YUMA (FOOTHILLS) AZ,Supercenter,8151 E 32ND ST,YUMA,AZ,85365,219139,4/18/2007,32.66861515,-114.4930932
4330,CHELSEA AL,Supercenter,16077 HIGHWAY 280,CHELSEA,AL,35043,204458,6/13/2007,33.319654,-86.646309
4332,ORLANDO (TURKEY LAKE) FL,Supercenter,8990 TURKEY LAKE RD,ORLANDO,FL,32819,207489,6/13/2007,28.4419696,-81.47718312
4333,FAIRHOPE AL,Supercenter,10040 COUNTY ROAD 48,FAIRHOPE,AL,36532,203819,7/18/2007,30.52353762,-87.84964361
4334,WEAVERVILLE NC,Supercenter,25 NORTHRIDGE COMMONS PKWY,WEAVERVILLE,NC,28787,176274,6/17/2009,35.70339124,-82.57890998
4335,FALCON (PEYTON) CO,Supercenter,11550 MERIDIAN MARKET VW,FALCON,CO,80831,184212,7/18/2007,38.98998,-104.50518
4336,EL MIRAGE AZ,Supercenter,12900 W THUNDERBIRD RD,EL MIRAGE,AZ,85335,196021,7/18/2007,33.60913848,-112.338667
4337,SAN LUIS AZ,Supercenter,1613 NORTH MAIN STREET,SAN LUIS,AZ,85349,176311,3/7/2008,32.50736689,-114.7839895
4339,NORTH LAS VEGAS(LOSEE)NV,Neighborhood Market,5940 LOSEE RD,NORTH LAS VEGAS,NV,89081,39690,10/24/2007,36.26785942,-115.1168305
4340,HESPERIA CA,Supercenter,13401 MAIN ST,HESPERIA,CA,92345,189622,9/26/2012,34.42662711,-117.3693035
4341,TRUTH OR CONSEQUENCES NM,Supercenter,2001 H.R. ASHBAUGH DR.,TRUTH OR CONSEQUENCES,NM,87901,104906,8/13/2008,33.129932,-107.251636
4342,BEDFORD OH,Supercenter,22209 ROCKSIDE RD,BEDFORD,OH,44146,195592,3/7/2008,41.40845577,-81.52530503
4348,ROARING SPRING PA,Supercenter,200 COMMERCE DR,DUNCANSVILLE,PA,16635,153256,3/7/2008,40.426696,-78.431599
4350,KILMARNOCK VA,Supercenter,200 OLD FAIRGROUNDS WAY,KILMARNOCK,VA,22482,156622,10/24/2007,37.708103,-76.382222
4352,FARGO (S) ND,Supercenter,3757 55TH AVE S,FARGO,ND,58104,186366,10/28/2009,46.819706,-96.808039
4354,NAPLES (PINE) FL,Neighborhood Market,5010 AIRPORT PULLING RD N,NAPLES,FL,34105,50749,3/28/2007,26.20664835,-81.76824484
4356,LAS VEGAS (RAINBOW) NV,Supercenter,7200 ARROYO CROSSING PKWY,LAS VEGAS,NV,89113,208164,3/19/2008,36.067463,-115.255782
4358,OMAHA (RANCH) NE,Supercenter,1606 S 72ND ST,OMAHA,NE,68124,211297,10/29/2008,41.24865437,-96.02401855
4359,ANCHORAGE AK,Supercenter,7405 DEBARR ROAD,ANCHORAGE (NE),AK,99501,180067,9/25/2013,61.20981469,-149.7430077
4366,EL PASO (RESLER) TX,Neighborhood Market,951 N RESLER DR,EL PASO,TX,79912,55238,2/13/2008,31.8609792,-106.5579821
4368,OCALA (SE) FL,Supercenter,34 BAHIA AVE,OCALA,FL,34472,180900,7/17/2013,29.09824329,-82.02072814
4369,DURHAM (C) NC,Supercenter,1010 MARTIN LUTHER KING PARKWA,DURHAM,NC,27713,109591,10/26/2011,35.916567,-78.917612
4370,FERNLEY NV,Supercenter,1550 NEWLANDS DR E,FERNLEY,NV,89408,160046,3/5/2008,39.61099006,-119.192858
4372,KINGWOOD WV,Supercenter,100 WALMART DR,KINGWOOD,WV,26537,104902,9/19/2007,39.471602,-79.684322
4374,LITCHFIELD MN,Supercenter,2301 EAST FRONTAGE ROAD,LITCHFIELD,MN,55355,156755,8/8/2007,45.126741,-94.52701
4377,CRAIG CO,Supercenter,2000 W VICTORY WAY,CRAIG,CO,81625,99611,11/7/2007,40.51404321,-107.5708825
4378,ONLEY VA,Supercenter,26036 LANKFORD HWY,ONLEY,VA,23418,153526,7/21/2010,37.662299,-75.687848
4379,COLUMBIA SC,Supercenter,1326 BUSH RIVER RD,COLUMBIA,SC,29210,203819,5/9/2007,34.040812,-81.095436
4380,CORAL SPRINGS FL,Neighborhood Market,10635 W ATLANTIC BLVD,CORAL SPRINGS,FL,33071,39746,7/18/2007,26.243112,-80.261973
4381,BRANSON MO,Supercenter,1101 BRANSON HILLS PKWY,BRANSON,MO,65616,203710,6/11/2008,36.643271,-93.232983
4383,DEARBORN MI,Supercenter,5851 MERCURY DR,DEARBORN,MI,48126,193741,3/5/2008,42.32834504,-83.20455594
4384,MOUNT PLEASANT (N) SC,Supercenter,3000 PROPRIETORS PL,MT PLEASANT,SC,29466,194473,9/19/2007,32.88219593,-79.75686072
4387,WORCESTER MA,Supercenter,25 TOBIAS BOLAND WAY,WORCESTER,MA,1607,208697,5/5/2010,42.22725,-71.793758
4389,WOODSVILLE NH,Supercenter,4901 DARTMOUTH COLLEGE HWY,WOODSVILLE,NH,3785,155083,3/7/2008,44.149423,-72.034577
4394,AIRWAY HEIGHTS WA,Supercenter,1221 S HAYFORD RD,SPOKANE,WA,99224,184211,11/7/2007,47.645499,-117.558772
4395,POST FALLS ID,Supercenter,6405 W POINTE PARKWAY,POST FALLS,ID,83854,154092,8/18/2010,47.70233052,-117.0300292
4399,MISHAWAKA IN,Supercenter,30830 OLD US 20,ELKHART,IN,46514,184109,3/5/2008,41.68839743,-86.05838957
4403,QUEENSBURY NY,Supercenter,24 QUAKER RIDGE BLVD,QUEENSBURY,NY,12804,148214,9/14/2011,43.37136,-73.6761
4404,ETTERS PA,Supercenter,50 NEWBERRY PKWY,ETTERS,PA,17319,148235,5/18/2011,40.152317,-76.794239
4405,AURORA (NE) IL,Supercenter,2900 KIRK RD,AURORA,IL,60502,203863,3/7/2008,41.7843,-88.2513
4407,MONTGOMERY (E) AL,Supercenter,10710 CHANTILLY PKWY,MONTGOMERY,AL,36117,203856,4/18/2007,32.38369,-86.13246
4409,ROCKMART GA,Supercenter,1801 NATHAN DEAN BYP,ROCKMART,GA,30153,156624,7/18/2007,33.9875,-85.0551
4410,GRANITE FALLS NC,Supercenter,4780 HICKORY BLVD,GRANITE FALLS,NC,28630,184211,3/7/2008,35.76781989,-81.38679451
4412,LAUREL MT,Supercenter,101 BERNHARDT RD,LAUREL,MT,59044,151980,10/24/2007,45.66737031,-108.7593663
4413,LEXINGTON (S) KY,Neighborhood Market,4230 SARON DR,LEXINGTON,KY,40515,46448,2/28/2007,37.96655187,-84.50212399
4414,SMITHVILLE TN,Supercenter,515 W BROAD ST,SMITHVILLE,TN,37166,105501,1/22/2007,35.95795439,-85.82367415
4415,EL PASO (NO. LOOP) TX,Neighborhood Market,8115 NORTH LOOP DR,EL PASO,TX,79907,50513,4/11/2007,31.72779494,-106.3463434
4416,HOUSTON (SMILI) TX,Supercenter,13003 TOMBALL PKWY,HOUSTON,TX,77086,156059,1/25/2012,29.91370025,-95.48397564
4417,CAMBY IN,Supercenter,8191 UPLAND BND,CAMBY,IN,46113,206719,6/11/2008,39.640017,-86.308573
4420,BATESBURG-LEESVILLE SC,Supercenter,115 E CHURCH ST,LEESVILLE,SC,29070,187220,5/9/2007,33.908554,-81.449991
4423,MARTINSBURG (N) WV,Supercenter,5680 HAMMONDS MILL RD,MARTINSBURG,WV,25404,203819,3/5/2008,39.461628,-77.969503
4425,ORLANDO (APOPKA/50) FL,Neighborhood Market,7818 COLONIAL WEST DRIVE,ORLANDO,FL,32818,39163,8/22/2007,28.55188763,-81.48805486
4427,TALLAHASSEE (NW) FL,Supercenter,3221 N MONROE ST,TALLAHASSEE,FL,32303,101720,3/18/2009,30.48862628,-84.3178152
4428,ASHEVILLE (FLEX) NC,Supercenter,1636 HENDERSONVILLE RD,ASHEVILLE,NC,28803,115434,8/18/2010,35.51348213,-82.52395524
4430,MARICOPA AZ,Supercenter,41650 W MARICOPA CASA GRANDE H,MARICOPA,AZ,85138,184103,5/20/2009,33.05379,-112.004917
4435,NASHVILLE (NW) TN,Supercenter,3458 DICKERSON PIKE,NASHVILLE,TN,37207,153838,4/21/2010,36.24142452,-86.75731989
4436,ALPHARETTA (NE) GA,Supercenter,5455 ATLANTA HWY,ALPHARETTA,GA,30004,203856,3/5/2008,34.14733677,-84.25222757
4438,SARATOGA SPRINGS UT,Supercenter,136 W STATE ROAD 73,SARATOGA SPRINGS,UT,84045,184109,4/29/2009,40.345179,-111.911529
4440,BALLENTINE (IRMO) SC,Supercenter,1180 DUTCH FORK RD,IRMO,SC,29063,176348,8/19/2009,34.12614964,-81.22891391
4444,JACKSONVILLE (AVE) FL,Supercenter,10251 SHOPS LN,JACKSONVILLE,FL,32258,208262,5/20/2009,30.17887812,-81.55652622
4446,WEST PALM BEACH (N) FL,Supercenter,4225 45TH ST,WEST PALM BEACH,FL,33407,176311,3/18/2009,26.75980204,-80.10743292
4450,MIDDLETOWN KY,Supercenter,12981 SHELBYVILLE RD,MIDDLETOWN,KY,40243,207183,7/18/2007,38.24289,-85.51181109
4451,QUEEN CREEK (N) AZ,Supercenter,21055 E RITTENHOUSE RD,QUEEN CREEK,AZ,85142,203091,5/7/2008,33.25104047,-111.6299713
4456,SOMMERDALE NJ,Supercenter,1 COOPERTOWN BLVD,SOMERDALE,NJ,8083,199704,11/10/2010,39.843005,-75.031535
4457,BENNETTSVILLE SC,Supercenter,1250 BENNETTSVILLE SQUARE HWY,BENNETTSVILLE,SC,29512,90195,8/15/2012,34.613793,-79.686703
4458,HOLLY SPRINGS NC,Supercenter,7016 GB ALFORD HWY,HOLLY SPRINGS,NC,27540,179422,11/14/2007,35.63638083,-78.83411351
4459,NASHVILLE NC,Supercenter,1205 EASTERN AVE,NASHVILLE,NC,27856,153430,3/5/2008,35.96922817,-77.93398447
4460,NORTH LITTLE ROCK(MAU)AR,Supercenter,12001 MAUMELLE BLVD,NORTH LITTLE ROCK,AR,72113,184248,3/7/2008,34.82791589,-92.39155795
4461,LOUISA KY,Supercenter,275 WALTON DR,LOUISA,KY,41230,99581,9/19/2007,38.10954,-82.62684
4473,TUCSON (RUTHRUFF) AZ,Neighborhood Market,2175 W RUTHRAUFF RD,TUCSON,AZ,85705,39690,7/23/2008,32.29339094,-111.0132327
4474,KENAI AK,Supercenter,10096 KENAI SPUR HWY,KENAI,AK,99611,210799,3/31/2010,60.56390582,-151.2261371
4475,OLATHE (W) KS,Supercenter,395 N K 7 HWY,OLATHE,KS,66061,217211,5/21/2008,38.884071,-94.870529
4476,RICHMOND (360 WEST) VA,Supercenter,14501 HANCOCK VILLAGE ST,CHESTERFIELD,VA,23832,190327,8/19/2009,37.40994,-77.61072
4477,HIGH POINT (N) NC,Supercenter,2710 N MAIN ST,HIGH POINT,NC,27265,162171,10/29/2008,35.99454675,-80.03115526
4479,PERRYSBURG OH,Supercenter,10392 FREMONT PIKE,PERRYSBURG,OH,43551,176311,3/5/2008,41.54651597,-83.59390644
4482,MOUNT JULIET TN,Supercenter,300 PLEASANT GROVE RD STE 600,MOUNT JULIET,TN,37122,176333,10/28/2009,36.17549188,-86.52554143
4483,WHITE HOUSE TN,Supercenter,222 WILKINSON LN,WHITE HOUSE,TN,37188,184109,3/7/2008,36.484055,-86.687263
4484,RALEIGH (TRI.MALL) NC,Supercenter,8000 TOWN DR.,RALEIGH,NC,27616,188519,1/26/2011,35.863033,-78.535615
4487,AIKEN (N) SC,Supercenter,3581 RICHLAND AVE W,AIKEN,SC,29801,203716,10/24/2007,33.56329823,-81.76860445
4488,MARINA CA,Supercenter,150 BEACH RD,MARINA,CA,93933,94577,11/8/2006,36.69434092,-121.7988472
4497,HUEYTOWN AL,Supercenter,1007 RED FARMER DR,HUEYTOWN,AL,35023,184109,10/15/2008,33.4119,-87.04614
4498,CORAL SPRINGS (WILES) FL,Neighborhood Market,4650 N UNIVERSITY DR,CORAL SPRINGS,FL,33067,52024,10/17/2007,26.28809727,-80.25180195
4499,ZEBULON NC,Supercenter,841 E GANNON AVE,ZEBULON,NC,27597,176517,3/5/2008,35.8312853,-78.29634723
4501,WEST BROWNSVILLE PA,Supercenter,134 DANIEL KENDALL DR,WEST BROWNSVILLE,PA,15417,107634,2/1/2013,40.03104,-79.9299
4504,BIRMINGHAM(GREEN S) AL,Neighborhood Market,312 PALISADES BLVD,BIRMINGHAM,AL,35209,44122,4/25/2007,33.46782708,-86.82002536
4506,COLUMBIA SC,Supercenter,321 KILLIAN RD,COLUMBIA,SC,29203,203716,3/7/2008,34.13499532,-80.9649887
4508,PENITAS TX,Supercenter,1705 EXPRESSWAY 83,PENITAS,TX,78576,184109,4/29/2009,26.314445,-98.391453
4509,BENBROOK TX,Supercenter,8840 BENBROOK BLVD,BENBROOK,TX,76126,157695,10/27/2010,32.67733446,-97.46593048
4511,SILVIS IL,Supercenter,1601 18TH ST,SILVIS,IL,61282,187147,3/5/2008,41.49096504,-90.40636813
4514,WINCHESTER (S) VA,Supercenter,201 MARANTO MANOR DR,WINCHESTER,VA,22602,155110,10/26/2011,39.165663,-78.148614
4520,TALLAHASSEE (FALLS) FL,Supercenter,4021 LAGNIAPPE WAY,TALLAHASSEE,FL,32317,199199,5/7/2008,30.5672,-84.111895
4521,LEXINGTON (S) SC,Supercenter,1780 S LAKE DR,LEXINGTON,SC,29073,203819,9/19/2007,33.91073422,-81.22510505
4523,LOUISVILLE (BLANKENB) KY,Neighborhood Market,201 BLANKENBAKER PKWY,LOUISVILLE,KY,40243,52465,7/25/2007,38.24191,-85.54625455
4524,LOUISVILLE (WEST) KY,Neighborhood Market,5360 DIXIE HWY,LOUISVILLE,KY,40216,39728,3/5/2008,38.15739045,-85.83408179
4526,HOUSTON TX,Supercenter,4412 NORTH FWY,HOUSTON,TX,77022,185234,10/27/2010,29.829065,-95.374595
4529,NEW LENOX IL,Supercenter,501 E LINCOLN HWY,NEW LENOX,IL,60451,177557,10/27/2010,41.510578,-87.963544
4531,ROMEOVILLE IL,Supercenter,420 WEBER ROAD,ROMEOVILLE,IL,60446,203986,1/23/2008,41.591798,-88.060557
4533,OAKLAND TN,Supercenter,105 CHICKASAW RIDGE DR,OAKLAND,TN,38060,153430,3/7/2008,35.21295,-89.542271
4538,HOUSTON (FRY ROAD) TX,Supercenter,6060 N FRY RD,KATY,TX,77449,205044,5/7/2008,29.819538,-95.75226
4540,FOWLERVILLE MI,Supercenter,970 GEHRINGER DR,FOWLERVILLE,MI,48836,184160,3/7/2008,42.663825,-84.068992
4543,PARKER AZ,Supercenter,100 W RIVERSIDE DR,PARKER,AZ,85344,104846,7/15/2009,34.155315,-114.26303
4553,KANSAS CITY (BLUE RDG) MO,Supercenter,11601 E US HIGHWAY 40,KANSAS CITY,MO,64133,197473,1/19/2007,39.02202,-94.46454
4554,AUSTIN (NORTHCROSS) TX,Supercenter,2525 W ANDERSON LN,AUSTIN,TX,78757,97956,10/27/2010,30.35737217,-97.73386497
4556,SAVANNAH (MALL) GA,Supercenter,14030 ABERCORN ST,SAVANNAH,GA,31419,117804,1/26/2011,31.979874,-81.180758
4557,LAS VEGAS (MCLEOD) NV,Supercenter,3075 E TROPICANA AVE,LAS VEGAS,NV,89121,120180,11/12/2008,36.09989866,-115.1083022
4558,COVINGTON (W) GA,Supercenter,4200 SALEM RD,COVINGTON,GA,30016,147806,3/14/2012,33.57416203,-83.96136321
4560,WEST PALM BEACH (OKE) FL,Neighborhood Market,6901 OKEECHOBEE BLVD,WEST PALM BEACH,FL,33411,50788,6/25/2008,26.710145,-80.15049766
4564,GOLDSBORO (W) NC,Supercenter,2908 US HIGHWAY 70 W,GOLDSBORO,NC,27530,184109,11/7/2007,35.43147481,-78.06733192
4567,BRIGHTON CO,Supercenter,7101 E 128TH AVE,BRIGHTON,CO,80602,200052,7/21/2010,39.960305,-104.910703
4568,BLAIR NE,Supercenter,1882 HOLLY ST,BLAIR,NE,68008,95679,3/14/2012,41.54333,-96.141019
4569,BOTTINEAU ND,Supercenter,912 11TH ST E,BOTTINEAU,ND,58318,99869,3/5/2008,48.9051,-100.42452
4574,CONCORD (MILLS) NC,Supercenter,5825 THUNDER RD,CONCORD,NC,28027,181524,7/15/2009,35.37775372,-80.72415891
4580,VESTAVIA HILLS AL,Neighborhood Market,1300 MONTGOMERY HWY,VESTAVIA HILLS,AL,35216,52506,7/25/2007,33.43052996,-86.78905848
4581,MOBILE (DAWES) AL,Supercenter,2500 DAWES RD,MOBILE,AL,36695,121813,3/7/2008,30.63737903,-88.2488567
4583,GREENVILLE (NE) SC,Supercenter,3925 PELHAM RD,GREENVILLE,SC,29615,129124,10/29/2008,34.868789,-82.312139
4584,HARTLAND MI,Supercenter,10400 HIGHLAND RD,HARTLAND,MI,48353,176305,8/26/2009,42.63349933,-83.74695841
4588,ORLANDO (PRINCETON) FL,Supercenter,3101 W PRINCETON ST,ORLANDO,FL,32808,176311,3/17/2010,28.57134034,-81.41807626
4593,ROCK HILL SC,Supercenter,4875 OLD YORK RD,ROCK HILL,SC,29732,176348,8/19/2009,34.9831055,-81.09281473
4594,CHERRYVILLE NC,Supercenter,2505 LINCOLNTON HWY,CHERRYVILLE,NC,28021,153479,1/23/2008,35.39922279,-81.33938867
4595,PLANTATION FL,Neighborhood Market,1885 N PINE ISLAND RD,PLANTATION,FL,33322,37419,4/23/2008,26.14650174,-80.26851254
4597,NORTH TONAWANDA NY,Supercenter,886 NIAGARA FALLS BLVD,NORTH TONAWANDA,NY,14120,175697,8/15/2012,43.07124,-78.81414
4599,TIMNATH CO,Supercenter,4500 WEITZEL ST,TIMNATH,CO,80547,196321,4/29/2009,40.530372,-104.98376
4600,GRETNA NE,Supercenter,11350 WICKERSHAM BLVD,GRETNA,NE,68028,151908,9/15/2010,41.127216,-96.250421
4601,LAS CRUCES (N) NM,Supercenter,3331 RINCONADA BLVD,LAS CRUCES,NM,88011,189543,6/12/2013,32.36025707,-106.7484836
4603,TUCSON (CRAYCROFT) AZ,Neighborhood Market,5500 E 22ND ST,TUCSON,AZ,85711,39690,3/5/2008,32.20680677,-110.8750564
4606,OSCEOLA IA,Supercenter,2400 COLLEGE DR,OSCEOLA,IA,50213,99581,3/7/2008,41.036668,-93.763856
4607,LEXINGTON (PALOMAR) KY,Neighborhood Market,3735 PALOMAR CENTRE DR,LEXINGTON,KY,40513,36676,1/23/2008,38.00343053,-84.57102188
4609,CINCINNATI(COLERAIN) OH,Supercenter,10240 COLERAIN AVE,CINCINNATI,OH,45251,183106,5/21/2008,39.26313018,-84.6043176
4612,HAMBURG PA,Supercenter,1800 TILDEN RIDGE,HAMBURG,PA,19526,155110,3/16/2011,40.55,-76.016667
4615,TULSA (GLENPOOL) OK,Supercenter,12200 S WACO,SAPULPA,OK,74066,201655,5/7/2008,36.000197,-96.113994
4616,CLEVELAND GA,Supercenter,260 DONALD E THURMOND PKWY,CLEVELAND,GA,30528,157094,7/29/2009,34.626813,-83.804069
4617,POMPANO BEACH FL,Neighborhood Market,1199 S FEDERAL HWY,POMPANO BEACH,FL,33062,59021,10/1/2008,26.234821,-80.093841
4623,NEWPORT NEWS (S) VA,Supercenter,6111 JEFFERSON AVE,NEWPORT NEWS,VA,23605,149969,2/1/2013,37.02219699,-76.44858869
4627,DENTON (NW) TX,Supercenter,2750 W UNIVERSITY DR,DENTON,TX,76201,188180,10/27/2010,33.23006504,-97.16940213
4631,HAMMOND (N) IN,Supercenter,1100 5TH AVE,HAMMOND,IN,46320,182254,10/26/2011,41.69627323,-87.51826162
4635,CLINTON TN,Supercenter,150 TANNER LN,CLINTON,TN,37716,187251,5/21/2008,36.100413,-84.140862
4636,APPOMATTOX VA,Supercenter,505 OAKVILLE RD,APPOMATTOX,VA,24522,99608,5/19/2010,37.36739291,-78.83906908
4637,BROKEN ARROW E. OK,Supercenter,3900 E HILLSIDE DR,BROKEN ARROW,OK,74014,176350,9/16/2009,36.054889,-95.716187
4638,RUCKERSVILLE VA,Supercenter,135 STONERIDGE DR,RUCKERSVILLE,VA,22968,147806,8/18/2010,38.218427,-78.382009
4639,ELIZABETH CO,Supercenter,2100 LEGACY CIR,ELIZABETH,CO,80107,150406,8/19/2009,39.384034,-104.593094
4641,HUNTLEY IL,Supercenter,12300 ROUTE 47,HUNTLEY,IL,60142,176350,4/29/2009,42.187342,-88.434247
4657,MOBILE (HILLCREST) AL,Neighborhood Market,6350 COTTAGE HILL RD,MOBILE,AL,36609,39995,6/25/2008,30.6411547,-88.18920083
