id,t,mu,g1,g2,W1,W2,prob_treat,treated,post,true_te,F1,F2,factor_prod,g,treat,rel_year,eps,y
1,9,-0.14440884683326405,-0.14440884683326405,1,-0.2181565587171572,2.2236568429537744,0.5,TRUE,FALSE,0,1,-0.29977540869119684,-0.4441842555244609,13,0,-4,0.05194125597317695,-0.39224299955128394
1,10,-0.14440884683326405,-0.14440884683326405,1,-0.2181565587171572,2.2236568429537744,0.5,TRUE,FALSE,0,1,-0.2748315846195682,-0.41924043145283224,13,0,-3,-0.6741557155487508,-1.093396147001583
1,11,-0.14440884683326405,-0.14440884683326405,1,-0.2181565587171572,2.2236568429537744,0.5,TRUE,FALSE,0,1,-0.6696332413164968,-0.8140420881497609,13,0,-2,0.3439883366424275,-0.47005375150733336
1,12,-0.14440884683326405,-0.14440884683326405,1,-0.2181565587171572,2.2236568429537744,0.5,TRUE,FALSE,0,1,-0.956808727823368,-1.1012175746566322,13,0,-1,-0.37526784305075417,-1.4764854177073863
1,13,-0.14440884683326405,-0.14440884683326405,1,-0.2181565587171572,2.2236568429537744,0.5,TRUE,TRUE,1,1,-0.6935734437757719,-0.837982290609036,13,1,0,-1.0935987574171786,-0.9315810480262146
2,9,1.3349427905050255,1.3349427905050255,1,3.293641909733225,0.7374765211355767,0.5,TRUE,FALSE,0,1,-0.29977540869119684,1.0351673818138287,13,0,-4,-0.5631924099731829,0.47197497184064585
2,10,1.3349427905050255,1.3349427905050255,1,3.293641909733225,0.7374765211355767,0.5,TRUE,FALSE,0,1,-0.2748315846195682,1.0601112058854574,13,0,-3,1.976766388165675,3.0368775940511323
2,11,1.3349427905050255,1.3349427905050255,1,3.293641909733225,0.7374765211355767,0.5,TRUE,FALSE,0,1,-0.6696332413164968,0.6653095491885287,13,0,-2,0.41339120234170634,1.078700751530235
2,12,1.3349427905050255,1.3349427905050255,1,3.293641909733225,0.7374765211355767,0.5,TRUE,FALSE,0,1,-0.956808727823368,0.3781340626816575,13,0,-1,1.1720840248217932,1.5502180875034508
2,13,1.3349427905050255,1.3349427905050255,1,3.293641909733225,0.7374765211355767,0.5,TRUE,TRUE,1,1,-0.6935734437757719,0.6413693467292536,13,1,0,-0.22596784210725981,1.4154015046219939
3,9,0.2672213572929433,0.2672213572929433,1,1.4448495883176915,2.0051555848523126,0.5,TRUE,FALSE,0,1,-0.29977540869119684,-0.03255405139825357,13,0,-4,-0.9641707231278361,-0.9967247745260897
3,10,0.2672213572929433,0.2672213572929433,1,1.4448495883176915,2.0051555848523126,0.5,TRUE,FALSE,0,1,-0.2748315846195682,-0.007610227326624919,13,0,-3,0.4081118158084691,0.4005015884818442
3,11,0.2672213572929433,0.2672213572929433,1,1.4448495883176915,2.0051555848523126,0.5,TRUE,FALSE,0,1,-0.6696332413164968,-0.40241188402355355,13,0,-2,0.050532331606339305,-0.35187955241721425
