b,dgp_num,T_0,estimator,true_te,rel_year,estimate,std.error,ci_lower,ci_upper,selected_p
1,1,4,TWFE,1,0,0.927882684837766,0.07993449615900769,0.771211072366111,1.084554297309421,NA
1,1,4,TWFE,2,1,1.9076278080593765,0.0773421021331847,1.7560372878783346,2.0592183282404184,NA
1,1,4,TWFE,3,2,2.936899091399808,0.07917349945660554,2.7817190324648613,3.092079150334755,NA
1,1,4,TWFE with $\bm{w}_i \beta_t$,1,0,0.9127122117416951,0.08069654660048854,0.7545469804047376,1.0708774430786527,NA
1,1,4,TWFE with $\bm{w}_i \beta_t$,2,1,1.9058627758859912,0.07770308241469091,1.753564734353197,2.0581608174187855,NA
1,1,4,TWFE with $\bm{w}_i \beta_t$,3,2,2.9372334108151406,0.07991533132081817,2.780599361426337,3.093867460203944,NA
1,1,4,Augmented Synthetic Control,1,0,0.8137451410734651,0.08330514562296308,0.7177546295008185,0.9770232264944727,NA
1,1,4,Augmented Synthetic Control,2,1,1.974591924806909,0.037027470271541116,1.7923919722083892,2.0471657665391296,NA
1,1,4,Augmented Synthetic Control,3,2,2.883755013574085,0.05581623093518563,2.730055893894054,2.9931548262070486,NA
1,1,4,Generalized Synth ($p$ known),1,0,0.9215344186285684,0.0976704772412581,0.7301038008828635,1.1129650363742734,2
1,1,4,Generalized Synth ($p$ known),2,1,1.9380654686458088,0.08734650844619077,1.7668694579159512,2.1092614793756663,2
1,1,4,Generalized Synth ($p$ known),3,2,2.8975281094074683,0.08775594591571595,2.72552961598342,3.0695266028315165,2
1,1,4,Generalized Synth ($p$ estimated),1,0,0.5449788165229031,0.0658780552159592,0.41586020092808207,0.6740974321177242,1
1,1,4,Generalized Synth ($p$ estimated),2,1,2.1047153729076156,0.05725407380915807,1.9924994502734679,2.2169312955417633,1
1,1,4,Generalized Synth ($p$ estimated),3,2,3.026583436444665,0.06333415296827974,2.902450777635486,3.1507160952538436,1
1,1,4,Factor Imputation ($\bm{F}$ known),1,0,1.0297601754966084,0.06251264602701853,0.907235389283652,1.1522849617095647,NA
1,1,4,Factor Imputation ($\bm{F}$ known),2,1,1.931041679132987,0.05689426286908562,1.819528923909579,2.042554434356395,NA
1,1,4,Factor Imputation ($\bm{F}$ known),3,2,2.9434087545106595,0.0576834200821339,2.830349251149677,3.056468257871642,NA
1,1,4,QLD ($p$ known),1,0,0.7958007484045108,0.08359166610729102,0.6319610828342204,0.9596404139748012,2
1,1,4,QLD ($p$ known),2,1,1.8963410452482679,0.10185788903841367,1.6966995827329772,2.0959825077635585,2
1,1,4,QLD ($p$ known),3,2,2.951654152031133,0.12859110726795592,2.6996155817859395,3.2036927222763265,2
1,1,4,QLD ($p$ estimated),1,0,0.7958007484045108,0.08359166610729102,0.6319610828342204,0.9596404139748012,2
1,1,4,QLD ($p$ estimated),2,1,1.8963410452482679,0.10185788903841367,1.6966995827329772,2.0959825077635585,2
1,1,4,QLD ($p$ estimated),3,2,2.951654152031133,0.12859110726795592,2.6996155817859395,3.2036927222763265,2
2,1,4,TWFE,1,0,1.018771297177058,0.07884465968018071,0.8642357642039038,1.173306830150212,NA
2,1,4,TWFE,2,1,1.9449484970978022,0.08031102705410927,1.7875388840717479,2.1023581101238564,NA
2,1,4,TWFE,3,2,2.9276165354796415,0.07703072061939309,2.776636323065631,3.078596747893652,NA
2,1,4,TWFE with $\bm{w}_i \beta_t$,1,0,1.0205861997453178,0.07969123063226202,0.8643913877060843,1.1767810117845514,NA
2,1,4,TWFE with $\bm{w}_i \beta_t$,2,1,1.9409434617094505,0.0807310515061972,1.7827106007573041,2.099176322661597,NA
2,1,4,TWFE with $\bm{w}_i \beta_t$,3,2,2.9252258959058897,0.0775111739232936,2.773303995016234,3.077147796795545,NA
2,1,4,Augmented Synthetic Control,1,0,0.9524856377151083,0.07952115670369998,0.8023799358691056,1.1083471048543603,NA
2,1,4,Augmented Synthetic Control,2,1,1.978209397623752,0.05158568235561999,1.7733016998437392,2.079317335040767,NA
